id,titre,prix,prix_valide,ville_norm,quartier,source,type_transaction,type_bien,texte_modele,lien,image_url
fb_69a97f6185f1dd70f9aef290,CHAMBRE SALON NOUVELLE CONSTRUCTION À LOUER À AGOE ZOSSIMÉ 00228 93818957,35000.0,True,Lomé,Agoè,Facebook,location,chambre_salon,chambre salon nouvelle construction a louer a agoe zossime 00228 93818957 chambre_salon location lome agoe,https://www.facebook.com/marketplace/item/912380578391735/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645992914_4373797646229342_2572159978485728045_n.jpg?stp=c0.79.720.720a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=db9c8c&_nc_ohc=pLLwcBQ7X-0Q7kNvwG8YPNP&_nc_oc=AdlnB67GfmMtYs0hf00OnVE2u8iqzwUjZsbrDRRhP7rP_xjdyuDzHqAZpgsXiR1l8AE&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyqbXvWCx-x6rjbtpCJ1pc8B3YGncCJkWAIQppHdyAfSg&oe=69AF59EA
fb_69a97f6185f1dd70f9aef291,A louer Chambre salon wc douche ( SANGUERA KLIKAMÉ),40000.0,True,Lomé,Sanguéra,Facebook,location,chambre_salon,a louer chambre salon wc douche ( sanguera klikame) chambre_salon location lome sanguera,https://www.facebook.com/marketplace/item/2684483168579170/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/644939384_1583030959643636_2349636444480583078_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=92e707&_nc_ohc=doRo1ASfdJUQ7kNvwHO6iqK&_nc_oc=Adn7bDpgrCnY_pLw3Z3I_CHeGknTWgpd2fmS4q8fV9fBw1C-7t0-4fKRLhi-K3Kfan0&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afyj58ndLuVYvycGv4jj6C3r5rnDmm9qTJxP4MnBkwMcTQ&oe=69AF35C6
fb_69a97f6185f1dd70f9aef292,A louer deux chambre salon agoè daliko,40000.0,True,Lomé,Agoè,Facebook,location,chambre_salon,a louer deux chambre salon agoe daliko chambre_salon location lome agoe,https://www.facebook.com/marketplace/item/950492287403698/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645048627_920723033646883_2968685794740593100_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=6ZgKengozH8Q7kNvwHdEZef&_nc_oc=Adm7145pplzsilBxmkhGxI7A-vClcO8w-VvrgxzHXGmWEb5aE0pE3QvpdoO6hzvMCbo&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfzzoRjUfDK9nJ1hWpz3rK-el5dkXO-ONVCk7OXso0dHwg&oe=69AF3EA5
fb_69a97f6185f1dd70f9aef293,Chambre salon interne à louer,35000.0,True,Inconnu,Inconnu,Facebook,location,chambre_salon,chambre salon interne a louer chambre_salon location inconnu inconnu,https://www.facebook.com/marketplace/item/1607897936999982/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645310100_905700328749380_8390500327440108989_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=92e707&_nc_ohc=p0EgGHdVsHsQ7kNvwFUItlw&_nc_oc=Adl7aJK3XZB_EBO_AeQ_yCnlY6WnFy6LkN5qN6Z3TuEobycZ1B4p13MRkkVINFiccuQ&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxx7QzeVCPF_6iypxWcyVuCifiIAdZhDURhutKO1PFaCg&oe=69AF538C
fb_69a97f6185f1dd70f9aef294,Chambre salon wcd cuisine interne,37000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon wcd cuisine interne chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1187028059961092/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646894229_4337578436474278_4054010505260762831_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=H7gXcJXzcxYQ7kNvwEAV7js&_nc_oc=AdlkskAnW6TcE5-tEynKXH-x_qnQwgZ7AIqzwwBk7zc_dcZrZHlSSrh1VcSFs4wovm4&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afw2zWEki1cmvpNRdBY0SyuIvgopycfxLexLEJya9Km7Lw&oe=69AF4FF0
coin_69a9781885f1dd70f9aef1d9,Terain 1/2 lot Djidjolé pharmacie Point E,30000000.0,True,Lomé,Djidjolé,CoinAfrique,terrain,terrain,terain 1/2 lot djidjole pharmacie point e terrain terrain lome djidjole,https://tg.coinafrique.com/annonce/terrains/terain-1-2-lot-djidjole-pharmacie-point-e-5802253,https://images.coinafrique.com/thumb_5802253_uploaded_image1_1772540461.jpg
ask_69a97c3b85f1dd70f9aef260,"terrain,vendre,lome,adidogome",0.0,False,Lomé,Lomé,ImmoAsk,vente,terrain,"terrain,vendre,lome,adidogome terrain vente lome lome",#,
fb_69a97f6185f1dd70f9aef295,Chambre salon Wcd interne cuisine terrasse à Avedji Lomé plaisir,35000.0,True,Lomé,Lomé,Facebook,autre,chambre_salon,chambre salon wcd interne cuisine terrasse a avedji lome plaisir chambre_salon autre lome lome,https://www.facebook.com/marketplace/item/1980830259505148/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/645303837_1947456132799553_6282092795373243532_n.jpg?stp=c0.129.889.889a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=i2kK6RN1gjEQ7kNvwGEJ_V4&_nc_oc=AdlmTaQvF7ftxGHWSIiXMQmP71kV_cl5RVFuPhRBKMzRI_Uyyzs7k-jVfDaCxakrfvY&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfwH8guPxT69hrJAomD90xbNysh5dAOUoZQifGPmqTaR2A&oe=69AF523E
fb_69a97f6285f1dd70f9aef296,2chambre salon interne à louer,50000.0,True,Inconnu,Inconnu,Facebook,location,chambre_salon,2chambre salon interne a louer chambre_salon location inconnu inconnu,https://www.facebook.com/marketplace/item/913124781451476/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645252633_1551962515866054_4384552591346115879_n.jpg?stp=c0.159.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=Ix0zX2lEFbgQ7kNvwEb-rqu&_nc_oc=Adn7dqSCYZgCt_4QS2CoJqDnEik8GVUCyQPLHORHrdec2QwxmTwgFdd5CQKkp7O7VWY&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyK3XrWa1kjkMkL-33Bm_hNJwf5JqSPvNLqGjUy_ND9Hw&oe=69AF421D
fb_69a97f6285f1dd70f9aef297,Chambre salon,52500.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/2076272003159685/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646688898_1850610565643013_922932167106128168_n.jpg?stp=c0.0.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=92e707&_nc_ohc=9UkJEiLThZIQ7kNvwF55GEp&_nc_oc=Adl8x5978ZPyEAVc0GWb1yb8vPf3FDINSkKB2FHEuvSfr7fzOcU9xzcAmOi6Refk434&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afxh4bfUV072_MmELRym27hu0e8QpBPndLuf4Q1ZIGX0Bg&oe=69AF64F0
fb_69a97f6285f1dd70f9aef298,Chambre salon terrasse à Avedji Lomé plaisir,22000.0,True,Lomé,Lomé,Facebook,autre,chambre_salon,chambre salon terrasse a avedji lome plaisir chambre_salon autre lome lome,https://www.facebook.com/marketplace/item/923589683595770/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/642880376_1947027849509048_202691499103254166_n.jpg?stp=c82.0.852.852a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=Zkvzg-d--cIQ7kNvwHaBfB2&_nc_oc=AdnE58OYZw5rwiQGDo5TF5izAKz8YxTvzsgzVJisOFmqNir4ph1GbOuxp974wz5Z67M&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz1dr9jRjW-PFwuqRCiZ-4YJPPWy9JvD4PtqQjTEIv9mg&oe=69AF65EF
fb_69a97f6285f1dd70f9aef299,Chambre salon wcd cuisine interne plafonné carrelé bien aéré à wonyomé...,50000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon wcd cuisine interne plafonne carrele bien aere a wonyome... chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1594645104918980/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/646277459_1427243869093454_4841420626086513884_n.jpg?stp=c101.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=pg2XZp83q0MQ7kNvwGimR1Q&_nc_oc=AdlOiZTgjk-pP4sCihm3q3k041IJ3exQ4VgDg_RWtOdRwqyA6x2WUbz1MtTAn-u1tRs&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfyFFVxdnG88DupV-ntLWc5THnAnXBHvdGLJTsc8zpSfkw&oe=69AF423E
coin_69a9781885f1dd70f9aef1da,Location appartement meublé de 03 pièces à Kodjoviakopé,1000000.0,True,Lomé,Kodjoviakopé,CoinAfrique,location,appartement,location appartement meuble de 03 pieces a kodjoviakope appartement location lome kodjoviakope,https://tg.coinafrique.com/annonce/appartements/location-appartement-meuble-de-03-pieces-a-kodjoviakope-5784033,https://images.coinafrique.com/thumb_5784033_uploaded_image1_1771586751.jpg
fb_69a97f6285f1dd70f9aef29a,Chambre salon interne Agoè Demakpoè,40000.0,True,Lomé,Agoè,Facebook,autre,chambre_salon,chambre salon interne agoe demakpoe chambre_salon autre lome agoe,https://www.facebook.com/marketplace/item/1248840153346829/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.84726-6/645061814_1537560277342097_7135590043501645135_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=69u426-2ThAQ7kNvwF2BnAJ&_nc_oc=AdlSgYMGBFuRqwJ9xvgh0H1WFROBz_ap4ZAKyhWlB4_IIvw1oEqDzhZRfmglo0jOkzI&_nc_zt=14&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfxMmrmKJbEaK5U0UJ8FXRyhBpx05NAzZzVWVpExuYUvkg&oe=69AF479B
fb_69a97f6285f1dd70f9aef29b,Chambre salon adidogome 96747005,40000.0,True,Lomé,Adidogomé,Facebook,autre,chambre_salon,chambre salon adidogome 96747005 chambre_salon autre lome adidogome,https://www.facebook.com/marketplace/item/4526913024209035/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646295442_951698021048952_8755847187834160543_n.jpg?stp=c0.78.723.723a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=aYdNscpvWJ8Q7kNvwFUHnmN&_nc_oc=Adkpd7gLNyeCYd-2VJJi8LrZ7SaxytMCHjQY-Q7igJuypk-pCuKvcBey-Dp7l38s7ZI&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afz7nNRQdpvCX5SF7cb2Komi3ld_AkLSprXxUvZwHPwnOQ&oe=69AF5D28
fb_69a97f6285f1dd70f9aef29c,COUR UNIQUE DE CHAMBRE SALON À SÉGBÉ. 99053971,50000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,cour unique de chambre salon a segbe. 99053971 chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/910255038586021/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/647077082_835020816275998_8562522030470900685_n.jpg?stp=c280.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=XXKXxOe2tQYQ7kNvwGd2_Hw&_nc_oc=AdmYRYm6d9mYR_quvv7sDPCTkEr7Z1dRpX-aG-GVmrdxNpygZY8-8Hz_BMdUxd_kVqw&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_Afzqy0_KjO45Tmm1IeIzdIVU30NSlQNrNcoFd86wr0bejg&oe=69AF45E7
fb_69a97f6285f1dd70f9aef29d,Chambre salon avec cuisine amadahomé carefour aised,20000.0,True,Inconnu,Inconnu,Facebook,autre,chambre_salon,chambre salon avec cuisine amadahome carefour aised chambre_salon autre inconnu inconnu,https://www.facebook.com/marketplace/item/1309430674346231/,https://scontent-cph2-1.xx.fbcdn.net/v/t39.30808-6/646579060_1947627299449103_4551763382692165614_n.jpg?stp=c0.86.780.780a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=4f26a2&_nc_ohc=dwbPFhuCIYgQ7kNvwE_X06E&_nc_oc=AdmfEKZ3PREE0ot1tRLLyNqlch0_BrohqAX1ckE9o78T_3WIjgTOeRW-8t80MUv7RTQ&_nc_zt=23&_nc_ht=scontent-cph2-1.xx&_nc_gid=i3AnxUZiD6Ej80tHvm8KWw&_nc_ss=8&oh=00_AfxrxMlDq4G3waLMi6cLPgqyrz8G9Y5Nd_L5l3k-mNj-7g&oe=69AF68C6
